# Constructed from biom file
#OTU ID	Cleland-R10	Cleland-R11	Cleland-R12	Cleland-R13	Cleland-R14	Cleland-R15	Cleland-R16	Cleland-R17	Cleland-R18	Cleland-R19	Cleland-R1	Cleland-R20	Cleland-R21	Cleland-R22	Cleland-R23	Cleland-R24	Cleland-R28	Cleland-R29	Cleland-R2	Cleland-R30	Cleland-R31	Cleland-R32	Cleland-R33	Cleland-R34	Cleland-R35	Cleland-R36	Cleland-R37	Cleland-R38	Cleland-R39	Cleland-R3	Cleland-R40	Cleland-R41	Cleland-R42	Cleland-R43	Cleland-R44	Cleland-R45	Cleland-R46	Cleland-R47	Cleland-R48	Cleland-R49	Cleland-R4	Cleland-R50	Cleland-R51	Cleland-R52	Cleland-R53	Cleland-R54	Cleland-R55	Cleland-R56	Cleland-R57	Cleland-R58	Cleland-R59	Cleland-R5	Cleland-R6	Cleland-R7	Cleland-R8	Cleland-R9	sample-17	sample-18	sample-22	sample-24	sample-27	sample-2	sample-31	sample-34	sample-35	sample-39	sample-42	sample-46	sample-49	sample-4	sample-50	sample-53	sample-56	sample-57	sample-61	sample-64	sample-66	sample-70	sample-8	sample-9
27a662f0d63fdfcb29086af5191e1dee	406.0	5051.0	437.0	423.0	440.0	274.0	1365.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	6.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	3.0	2.0	0.0	0.0	1451.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ba9bdb0ec6a2c2a400c000d4569608a0	403.0	1950.0	449.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30d4b1bce5b609bc13d579ec88d0e370	378.0	1107.0	139.0	414.0	1401.0	720.0	2080.0	2.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	489.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
df2174d1a3c3fc9c030c4fa6bb8e1705	351.0	1901.0	509.0	231.0	159.0	325.0	507.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	604.0	259.0	0.0	336.0	661.0	298.0	832.0	355.0	311.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	826.0	0.0	0.0	2.0	3.0	0.0	0.0	3.0	3.0	0.0	738.0	1216.0	3.0	2.0	0.0	3.0	0.0	0.0	519.0	0.0	355.0	0.0	0.0	660.0	0.0
6ef7daf7fa28578c1d866d95b13d75df	343.0	1115.0	193.0	90.0	163.0	63.0	383.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	670.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b200d539b9097cc3d3e452ebb7cb9f97	214.0	213.0	479.0	353.0	6571.0	902.0	129.0	13.0	46.0	7.0	5866.0	10.0	29.0	44.0	13.0	168.0	0.0	31.0	4495.0	2.0	9.0	0.0	0.0	0.0	0.0	8199.0	7966.0	4126.0	3991.0	4470.0	5231.0	10128.0	5242.0	8111.0	31.0	29.0	21.0	101.0	25.0	31.0	2655.0	66.0	111.0	4287.0	4005.0	1457.0	3275.0	1627.0	7521.0	2223.0	5520.0	3743.0	4872.0	7389.0	7679.0	535.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e28e192de195e51ce8d263e61bcd4a06	212.0	846.0	380.0	337.0	243.0	179.0	209.0	319.0	544.0	432.0	239.0	288.0	451.0	494.0	351.0	3152.0	149.0	89.0	217.0	51.0	138.0	396.0	172.0	295.0	223.0	365.0	615.0	521.0	261.0	196.0	241.0	421.0	485.0	575.0	41.0	38.0	19.0	255.0	58.0	92.0	71.0	81.0	123.0	223.0	366.0	151.0	187.0	91.0	535.0	297.0	155.0	190.0	126.0	351.0	457.0	678.0	8.0	0.0	2.0	2.0	3.0	0.0	5.0	0.0	16.0	20.0	4.0	15.0	5.0	5.0	0.0	0.0	4.0	5.0	5.0	0.0	0.0	5.0	12.0	0.0
ed589aeef6a473619c1fd0ae71035d52	210.0	425.0	280.0	355.0	582.0	467.0	234.0	41.0	15.0	15.0	8.0	6.0	45.0	56.0	11.0	868.0	186.0	367.0	0.0	144.0	373.0	347.0	365.0	211.0	706.0	271.0	213.0	82.0	971.0	79.0	1174.0	1409.0	91.0	744.0	80.0	65.0	53.0	57.0	147.0	132.0	2.0	132.0	232.0	164.0	60.0	82.0	6.0	500.0	489.0	482.0	439.0	0.0	6.0	203.0	0.0	411.0	41.0	30.0	169.0	54.0	22.0	6.0	36.0	61.0	99.0	375.0	336.0	29.0	64.0	43.0	15.0	2.0	78.0	321.0	118.0	67.0	4.0	98.0	105.0	34.0
7541117dfc5bd0f68bc470869fa91c73	180.0	2.0	37.0	482.0	1568.0	838.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5cd9f6e1c00d8d462d43fa3e62ffd7ca	175.0	0.0	31.0	434.0	1335.0	855.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	3.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
