genus,abundance,maturity,species
g__Fusobacterium,0.0115715622851558,Immature,Koala
g__Fusobacterium,NA,Mature,Koala
g__Gastranaerophilales,0.1330903608969,Immature,Koala
g__Gastranaerophilales,0.0279357469249142,Mature,Koala
g__Lachnoclostridium,0.0174062140200618,Immature,Koala
g__Lachnoclostridium,NA,Mature,Koala
g__Muribaculaceae,0.345321262020923,Immature,Koala
g__Muribaculaceae,0.0432462638902828,Mature,Koala
g__NK4A214_group,0.0078540840077199,Immature,Koala
g__NK4A214_group,NA,Mature,Koala
g__Parabacteroides,0.0934587954641464,Immature,Koala
g__Parabacteroides,0.249510497036434,Mature,Koala
g__Ruminococcus,0.0232872514019233,Immature,Koala
g__Ruminococcus,0.0951893528536889,Mature,Koala
g__Tyzzerella,0.0136638862888997,Immature,Koala
g__Tyzzerella,0.0102135193652932,Mature,Koala
g__[Eubacterium]_coprostanoligenes_group,0.0179694683045218,Immature,Koala
g__[Eubacterium]_coprostanoligenes_group,NA,Mature,Koala
g__uncultured,0.012288883182718,Immature,Koala
g__uncultured,0.142904983864587,Mature,Koala
g__Akkermansia,NA,Immature,Koala
g__Akkermansia,0.00908397498192527,Mature,Koala
g__Alistipes,NA,Immature,Koala
g__Alistipes,0.0477080118245011,Mature,Koala
g__Cloacibacillus,NA,Immature,Koala
g__Cloacibacillus,0.0588373812046815,Mature,Koala
g__Lachnospiraceae_UCG-004,NA,Immature,Koala
g__Lachnospiraceae_UCG-004,0.0154415907813559,Mature,Koala
g__Lonepinella,NA,Immature,Koala
g__Lonepinella,0.0127259460797322,Mature,Koala
1174-901-12,8.7670989335546e-4,Immature,Warbler
1174-901-12,6.9096435304802e-4,Mature,Warbler
Achromobacter,0.00171876053207181,Immature,Warbler
Achromobacter,NA,Mature,Warbler
Actinomycetospora,0.00232790980999664,Immature,Warbler
Actinomycetospora,0.0019693388106895,Mature,Warbler
Actinoplanes,0.00186998084689852,Immature,Warbler
Actinoplanes,0.00151050399870986,Mature,Warbler
Akkermansia,0.00826487088066296,Immature,Warbler
Akkermansia,0.00868398256855081,Mature,Warbler
Alcaligenes,0.00309497577678675,Immature,Warbler
Alcaligenes,7.2962825851158e-4,Mature,Warbler
Alistipes,0.001744147884196,Immature,Warbler
Alistipes,0.00150845848269101,Mature,Warbler
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.00951356067253377,Immature,Warbler
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.00673495280976281,Mature,Warbler
Amaricoccus,7.8480032001309e-4,Immature,Warbler
Amaricoccus,9.8867825147099e-4,Mature,Warbler
Ambiguous_taxa,0.00288481265311517,Immature,Warbler
Ambiguous_taxa,0.0015801245974945,Mature,Warbler
Amnibacterium,0.00126465806842429,Immature,Warbler
Amnibacterium,0.00168411717081027,Mature,Warbler
Arsenophonus,0.0166407838319213,Immature,Warbler
Arsenophonus,0.0143433409595771,Mature,Warbler
Aureimonas,0.014872720326159,Immature,Warbler
Aureimonas,0.0131404131686669,Mature,Warbler
Bacillus,0.00332250532104183,Immature,Warbler
Bacillus,0.00195213455988805,Mature,Warbler
Bacteroides,0.00467480494419051,Immature,Warbler
Bacteroides,0.0052539626850393,Mature,Warbler
Bartonella,0.0176404568133913,Immature,Warbler
Bartonella,0.00878024966618822,Mature,Warbler
Blastocatella,7.1231759003532e-4,Immature,Warbler
Blastocatella,NA,Mature,Warbler
Blastopirellula,7.108458594774e-4,Immature,Warbler
Blastopirellula,NA,Mature,Warbler
Brachybacterium,9.827480800539e-4,Immature,Warbler
Brachybacterium,9.6020539902995e-4,Mature,Warbler
Brevibacterium,9.5147380569801e-4,Immature,Warbler
Brevibacterium,NA,Mature,Warbler
Candidatus Arthromitus,0.00739419508259499,Immature,Warbler
Candidatus Arthromitus,0.00807914905072533,Mature,Warbler
Candidatus Soleaferrea,0.00446633431066054,Immature,Warbler
Candidatus Soleaferrea,0.00530805927832368,Mature,Warbler
Candidatus Tremblaya,0.00513148293631439,Immature,Warbler
Candidatus Tremblaya,0.00134107317632659,Mature,Warbler
Candidatus Vestibaculum,8.6066803027408e-4,Immature,Warbler
Candidatus Vestibaculum,0.0012917068388358,Mature,Warbler
Catellicoccus,0.0141725445132266,Immature,Warbler
Catellicoccus,0.0152034621819702,Mature,Warbler
Cellulomonas,0.00155937211264861,Immature,Warbler
Cellulomonas,0.00157004312568728,Mature,Warbler
Christensenellaceae R-7 group,7.3093498159306e-4,Immature,Warbler
Christensenellaceae R-7 group,0.00106449018891984,Mature,Warbler
Clostridium sensu stricto 1,0.00281586207647642,Immature,Warbler
Clostridium sensu stricto 1,0.00485472179064472,Mature,Warbler
Corynebacterium 1,0.00619598564886098,Immature,Warbler
Corynebacterium 1,0.00520678797185443,Mature,Warbler
Curtobacterium,0.00205806801220123,Immature,Warbler
Curtobacterium,0.00175662340826436,Mature,Warbler
Delftia,0.00208073266279327,Immature,Warbler
Delftia,8.0821625341459e-4,Mature,Warbler
Desulfovibrio,0.00427427347285143,Immature,Warbler
Desulfovibrio,0.00527639030710318,Mature,Warbler
Devosia,0.00173700999099007,Immature,Warbler
Devosia,0.00217920510151695,Mature,Warbler
Dysgonomonas,0.00311212143778656,Immature,Warbler
Dysgonomonas,0.00213347320766681,Mature,Warbler
Enterococcus,0.065199209033129,Immature,Warbler
Enterococcus,0.0722762082196504,Mature,Warbler
Escherichia-Shigella,0.0141506893144414,Immature,Warbler
Escherichia-Shigella,0.0162826727808115,Mature,Warbler
Fimbriiglobus,0.00164789670570775,Immature,Warbler
Fimbriiglobus,0.00161740047423097,Mature,Warbler
Friedmanniella,0.00324465077452764,Immature,Warbler
Friedmanniella,0.0032187655639569902,Mature,Warbler
Fructobacillus,9.5574182431599e-4,Immature,Warbler
Fructobacillus,0.00210277220384809,Mature,Warbler
Gemmata,0.00267163248179984,Immature,Warbler
Gemmata,0.00268952482114976,Mature,Warbler
Geodermatophilus,0.00112992113584632,Immature,Warbler
Geodermatophilus,0.00102664814257101,Mature,Warbler
Gilliamella,0.00874237386018148,Immature,Warbler
Gilliamella,0.00332708659527694,Mature,Warbler
Gordonia,0.00790142701938357,Immature,Warbler
Gordonia,0.00547328948745395,Mature,Warbler
Incertae Sedis,0.00113705902905226,Immature,Warbler
Incertae Sedis,0.00276654215196686,Mature,Warbler
Kineococcus,7.1974982935284e-4,Immature,Warbler
